0.025,11.78
0.05,13.89
0.07500000000000001,17.95
0.1,23.75
0.125,25.65
0.15,28.18
0.17500000000000002,31.45
0.2,39.84
0.225,41.04
0.25,41.13
0.275,49.02
0.3,50.94
0.325,51.3
0.35000000000000003,55.61
0.37500000000000006,55.82
0.4000000000000001,57.63
0.4250000000000001,56.4
0.4500000000000001,60.65
0.47500000000000014,62.08
0.5000000000000002,57.84
0.5250000000000001,56.13
0.5500000000000003,59.91
0.5750000000000002,58.64
0.6000000000000003,54.04
0.6250000000000002,53.91
0.6500000000000004,59.25
0.6750000000000003,55.17
0.7000000000000004,54.47
0.7250000000000003,56.32
0.7500000000000004,53.74
0.7750000000000004,50.59
0.8000000000000005,52.37
0.8250000000000004,50.28
0.8500000000000005,46.45
0.8750000000000004,51.35
0.9,51.13
0.925,51.93
0.9500000000000001,50.59
0.9750000000000001,48.63
1.0,53.48
1.0250000000000001,53.52
1.0500000000000003,49.81
1.0750000000000002,47.08
1.1,45.54
1.1250000000000002,49.46
1.1500000000000004,42.78
1.1750000000000003,45.5
1.2000000000000002,45.43
1.2250000000000003,48.83
1.25,48.36
1.275,46.81
1.2999999999999998,47.78
1.3249999999999997,47.43
1.3499999999999996,47.71
1.3749999999999996,50.56
1.3999999999999995,46.27
1.4249999999999994,47.06
